scenario,seed,metric_group,metric,scale,proposed,simple,per_agent,proposed_minus_simple,proposed_minus_per_agent,interpretation_class
StateImport,20260832,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.883333333333,0.116666666667,0.0,0.766666666666,0.883333333333,Diagnostic only
StateImport,20260833,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.933333333333,0.083333333333,0.0,0.85,0.933333333333,Diagnostic only
StateImport,20260834,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.883333333333,0.133333333333,0.0,0.75,0.883333333333,Diagnostic only
StateImport,20260835,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.933333333333,0.083333333333,0.0,0.85,0.933333333333,Diagnostic only
StateImport,20260836,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.9,0.1,0.0,0.8,0.9,Diagnostic only
StateImport,20260837,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.866666666667,0.133333333333,0.0,0.733333333334,0.866666666667,Diagnostic only
StateImport,20260838,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.883333333333,0.133333333333,0.0,0.75,0.883333333333,Diagnostic only
StateImport,20260839,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.966666666667,0.033333333333,0.0,0.9333333333339999,0.966666666667,Diagnostic only
StateImport,20260840,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.95,0.05,0.0,0.8999999999999999,0.95,Diagnostic only
StateImport,20260841,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.85,0.166666666667,0.0,0.683333333333,0.85,Diagnostic only
StateImport,20260842,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.95,0.05,0.0,0.8999999999999999,0.95,Diagnostic only
StateImport,20260843,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.95,0.05,0.0,0.8999999999999999,0.95,Diagnostic only
